fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2018-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09356949435784594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08757897667736825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03689482429581592,0.2902211366624224,0.04717154851942295,0.0,0.0,0.0,0.0,0.0338285101604004,0.2857390230275158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499648629920833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06430931029403987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1274266591666185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06892860634083024,0.3794924741937221,0.05345236723355085,0.0,0.0,0.0,0.0,0.018107096673125093,0.1810613499235729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1072221361745404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03442229329505879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14439332171412747,0.0,0.0,0.04228428874180911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10029053044750572,0.4314515801391474,0.04717154851942295,0.0,0.0,0.0,0.0,0.0,0.08866658479323376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11131985234969471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-28,0.0,0.0,0.0,0.02746803838490172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1274266591666185,0.0,0.0,0.07899745150478171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11364405943384255,0.41991984825565953,0.03242049956136755,0.0,0.0,0.0,0.0,0.0,0.04745980283832649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15266364085450193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,0.0,0.0,0.0,0.05131705167118574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13186950151742383,0.0,0.0,0.1149406137161751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10029053044750572,0.35398722945741207,0.01735344290851689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20437282816281016,0.0,0.0,0.0,0.0,0.0,0.0,0.025868802118970503,0.0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.07466586960509389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18346108162036331,0.0,0.0,0.13024477862703543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06892860634083024,0.2683510725793753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260193062449211,0.0,0.0,0.0,0.0,0.0,0.0,0.04832928498238075,0.0,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.08460751463990149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26914175590028916,0.0,0.0,0.1149406137161751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03689482429581592,0.21701535167005093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2070812450537671,0.0,0.0,0.0,0.0,0.0,0.0,0.07031869472400037,0.0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.07466586960509389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012354630681151868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43056016693521415,0.0,0.0,0.07899745150478171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672368396598212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15650352146575777,0.0,0.0,0.0,0.0,0.0,0.0,0.07968152014817942,0.0,0.0,0.0
2019-01-08,0.0,0.0,0.0,0.05131705167118574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023081488825630082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754270993918523,0.0,0.0,0.04228428874180911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793471978762223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09963665685790005,0.0,0.0,0.0,0.0,0.0,0.0,0.07031869472400037,0.0,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.02746803838490172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03358336807789772,0.0,0.01814781805905481,0.0,0.0,0.0,0.0,0.0,0.6805288870950916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11211277185938176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07982983154129154,0.0,0.0,0.0,0.0,0.0,0.0,0.04832928498238075,0.0,0.0,0.0
